Date,MSCI_World,MSCI_EM
2009-08-17,1370.4695,24.0617
2009-08-18,1361.4856,24.5875
2009-08-19,1367.4745,24.6506
2009-08-20,1389.4341,25.0783
2009-08-21,1417.3824,25.4569
2009-08-24,1437.3456,25.5691
2009-08-25,1448.3253,25.5130
2009-08-26,1439.3418,25.4359
2009-08-27,1432.3549,25.3868
2009-08-28,1440.3401,25.2536
2009-09-01,1417.3824,24.2861
2009-09-02,1405.4048,24.5455
2009-09-03,1393.4266,25.0362
2009-09-04,1405.4048,25.5200
2009-09-08,1424.3700,26.0458
2009-09-09,1438.3438,26.1860
2009-09-10,1433.3528,26.5296
2009-09-11,1442.3362,26.5436
2009-09-14,1444.3329,26.4454
2009-09-15,1461.3010,26.7609
2009-09-16,1475.2758,27.4340
2009-09-17,1487.2533,27.2868
2009-09-18,1503.2236,27.3639
2009-09-21,1500.2296,27.1255
2009-09-22,1497.2344,27.5392
2009-09-23,1493.2422,27.1255
2009-09-24,1497.2344,26.5927
2009-09-25,1500.2296,26.7048
2009-09-28,1523.1874,27.0484
2009-09-29,1514.2034,27.1115
2009-09-30,1502.2257,27.2798
2009-10-01,1481.2644,26.5366
2009-10-02,1469.2867,26.5436
2009-10-05,1479.2683,27.1606
2009-10-06,1515.2018,27.6093
2009-10-07,1512.2068,27.5812
2009-10-08,1521.1904,27.9178
2009-10-09,1536.1627,27.9388
2009-10-12,1561.1171,28.1701
2009-10-13,1543.1503,28.2192
2009-10-14,1563.1134,29.1306
2009-10-15,1536.1627,28.9694
2009-10-16,1514.2034,28.5698
2009-10-19,1532.1704,29.1166
2009-10-20,1525.1831,28.7310
2009-10-21,1517.1980,28.5768
2009-10-22,1500.2296,28.8152
2009-10-23,1517.1980,28.5768
2009-10-26,1495.2386,28.2192
2009-10-27,1492.2437,27.7285
2009-10-28,1459.3049,26.4595
2009-10-29,1461.3010,27.6303
2009-10-30,1440.3401,26.3403
2009-11-02,1459.3049,26.7329
2009-11-03,1439.3418,26.7750
2009-11-04,1455.3121,27.2727
2009-11-05,1462.2997,27.8336
2009-11-06,1464.2957,27.7986
2009-11-09,1483.2609,28.8222
2009-11-10,1489.2494,28.6890
2009-11-11,1508.2148,28.9343
2009-11-12,1500.2296,28.2893
2009-11-13,1495.2386,28.7731
2009-11-16,1508.2148,29.4952
2009-11-17,1496.2368,29.3901
2009-11-18,1503.2236,29.1587
2009-11-19,1484.2588,28.6188
2009-11-20,1489.2494,28.4997
2009-11-23,1513.2056,29.0956
2009-11-24,1505.2203,28.9343
2009-11-25,1508.2148,29.2709
2009-11-27,1494.2407,28.1351
2009-11-30,1497.2344,28.4085
2009-12-01,1512.2068,29.2218
2009-12-02,1517.1980,29.3410
2009-12-03,1524.1851,29.0675
2009-12-04,1524.1851,29.3340
2009-12-07,1527.1796,29.0816
2009-12-08,1520.1925,28.5417
2009-12-09,1517.1980,28.7170
2009-12-10,1529.1765,28.8853
2009-12-11,1523.1874,28.9904
2009-12-14,1534.1666,29.1867
2009-12-15,1532.1704,28.8853
2009-12-16,1534.1666,29.0535
2009-12-17,1526.1818,28.2192
2009-12-18,1523.1874,28.2963
2009-12-21,1545.1459,28.2613
2009-12-22,1559.1208,28.5461
2009-12-23,1570.1005,28.8288
2009-12-24,1572.0970,29.1186
2009-12-29,1591.0618,29.1129
2009-12-30,1566.1077,29.2402
2009-12-31,1559.1208,29.3391
2010-01-04,1588.0676,30.1946
2010-01-05,1597.0503,30.4137
2010-01-06,1601.0430,30.4773
2010-01-07,1607.0322,30.3006
2010-01-08,1607.0322,30.5410
2010-01-11,1598.0486,30.4773
2010-01-12,1591.0618,29.9895
2010-01-13,1579.0839,30.0815
2010-01-14,1586.0709,30.0037
2010-01-15,1575.0907,29.6573
2010-01-19,1575.0907,30.2582
2010-01-20,1549.1387,29.5300
2010-01-21,1548.1412,28.6392
2010-01-22,1542.1517,28.0030
2010-01-25,1512.2068,28.2080
2010-01-26,1521.1904,27.6212
2010-01-27,1503.2236,27.5505
2010-01-28,1491.2465,27.3596
2010-01-29,1506.2181,27.0627
2010-02-01,1517.1980,27.7909
2010-02-02,1532.1704,28.0171
2010-02-03,1533.1688,27.8545
2010-02-04,1506.2181,26.5961
2010-02-05,1489.2494,26.2992
2010-02-08,1502.2257,26.0376
2010-02-09,1504.2217,26.8860
2010-02-10,1510.2104,26.8153
2010-02-11,1512.2068,27.5222
2010-02-12,1508.2148,27.1758
2010-02-16,1529.1765,27.8757
